resources/tagged/CrAPI.json
0.6992704058367534,0.6046511627906976,0.5736812908446243,0.1778688060123699,0.6046511627906976

resources/tagged_andrea/uk_parliament.json
Precision,Recall,F-Measure,False Positive Rate,True Positive Rate
1.0,1.0,1.0,NaN,1.0

resources/tagged_andrea/the_blue_alliance.json
Precision,Recall,F-Measure,False Positive Rate,True Positive Rate
1.0,0.9538461538461539,0.9763779527559054,NaN,0.9538461538461539

resources/tagged_andrea/wordnik.json
Precision,Recall,F-Measure,False Positive Rate,True Positive Rate
1.0,1.0,1.0,NaN,1.0

